load_name,container,pod,avg_cpu_cores,avg_cpu_millicores,avg_cpu_percent,max_cpu_cores,max_cpu_millicores,max_cpu_percent,avg_memory_gb,avg_memory_percent,max_memory_gb,max_memory_percent
high,tempo,tempo-simplest-0,2.6794079908392345,2679.4079908392346,94.26,3.4111393752024033,3411.1393752024032,93.72,1.8040730794270834,96.07,2.0372276306152344,95.73
high,tempo-gateway,tempo-simplest-0,0.10803758406589521,108.03758406589522,3.8,0.1553617939438016,155.3617939438016,4.27,0.049036534627278645,2.61,0.06423568725585938,3.02
high,tempo-gateway-opa,tempo-simplest-0,0.055230085225963566,55.23008522596356,1.94,0.0730912287739745,73.0912287739745,2.01,0.019943618774414064,1.06,0.021953582763671875,1.03
high,tempo-query,tempo-simplest-0,5.297001401157777e-07,0.0005297001401157777,0.0,6.47146111006817e-07,0.000647146111006817,0.0,0.00475311279296875,0.25,0.00475311279296875,0.22
low,tempo,tempo-simplest-0,0.001916309937392953,1.9163099373929529,67.36,0.002435374618696184,2.435374618696184,67.65,1.545809099751134,96.13,2.0611953735351562,96.15
low,tempo-gateway,tempo-simplest-0,0.0007076565686088232,0.7076565686088232,24.87,0.0009201397858416971,0.9201397858416971,25.56,0.04192167712796119,2.61,0.059864044189453125,2.79
low,tempo-gateway-opa,tempo-simplest-0,0.0002203890013295428,0.22038900132954278,7.75,0.0002434900218719886,0.24349002187198862,6.76,0.01705477314610635,1.06,0.019489288330078125,0.91
low,tempo-query,tempo-simplest-0,7.119846364567605e-07,0.0007119846364567605,0.03,7.149847811424654e-07,0.0007149847811424654,0.02,0.003261689216859879,0.2,0.003265380859375,0.15
medium,tempo,tempo-simplest-0,5.65783762803748,5657.83762803748,96.67,9.078939047399338,9078.939047399337,96.96,1.8033597310384115,96.49,2.347003936767578,96.53
medium,tempo-gateway,tempo-simplest-0,0.1312599749693826,131.2599749693826,2.24,0.1910427073961712,191.0427073961712,2.04,0.04486503601074219,2.4,0.06145477294921875,2.53
medium,tempo-gateway-opa,tempo-simplest-0,0.06349189158236018,63.49189158236018,1.08,0.09397653527232504,93.97653527232504,1.0,0.01744105021158854,0.93,0.019500732421875,0.8
medium,tempo-query,tempo-simplest-0,6.465560571991877e-07,0.0006465560571991876,0.0,8.053133728643268e-07,0.0008053133728643268,0.0,0.00328826904296875,0.18,0.00328826904296875,0.14
very-high,tempo,tempo-simplest-0,5.594799793432151,5594.799793432151,93.79,8.660938608945598,8660.938608945598,93.56,1.8237227121988933,96.16,2.0329666137695312,95.58
very-high,tempo-gateway,tempo-simplest-0,0.23992108390282144,239.92108390282144,4.02,0.38575187673184863,385.75187673184865,4.17,0.049714279174804685,2.62,0.0681915283203125,3.21
very-high,tempo-gateway-opa,tempo-simplest-0,0.13068740975764903,130.68740975764902,2.19,0.21042078028516442,210.42078028516443,2.27,0.018553797403971353,0.98,0.02108001708984375,0.99
very-high,tempo-query,tempo-simplest-0,1.1076864369480707e-05,0.011076864369480707,0.0,8.464423126900304e-05,0.08464423126900304,0.0,0.004600278792842742,0.24,0.0047454833984375,0.22
