load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,discarded_spans_per_sec,timestamp
low,0,5,1334.9358974358965000,2423.397435897435000,4652.04918032787000,2.599208741700243,2.3203468322753906,3.045178372101034,2.3203468322753906,3.7,3.0,7031.466666666666,771086.9,0,0,0,0,2025-12-02T00:31:13Z
very-high,0,5,10000,10000,10000,4.844670134848141,4.5123291015625,5.9120933107903415,4.5123291015625,7.1,5.5,14286.666666666666,1563276.2666666666,0,0,0,14389.06666666667,2025-12-02T00:43:12Z
