load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,discarded_spans_per_sec,timestamp
high,0,5,1437.50226188082000,3473.950026033127000,6850.746268656835000,6.106269901152127,7.011028289794922,5.944715880169131,7.011028289794922,7.2,8.5,30566.733333333334,3352989.033333333,0,0,0,0,2025-12-02T21:07:40Z
low,0,5,274.4252873563222000,911.5740740740741000,2053.6206896551743000,1.6318681268558273,1.7180824279785156,1.8860993877196621,1.7180824279785156,2.3,2.5,7082.666666666667,778763.5666666667,0,0,0,0,2025-12-02T20:53:52Z
medium,0,5,154.38209331651956000,681.6964285714291000,992.2767857142857000,5.238793941131693,4.1816558837890625,5.494819791341644,4.1816558837890625,6.6,5.0,18124.8,1986853.5999999999,0,0,0,0,2025-12-02T21:00:45Z
very-high,0,5,1418.4535975296921000,4186.705889352291000,9188.065843621391000,7.117419252693005,8.119842529296875,6.566324910057515,8.119842529296875,7.9,10.0,26642.6,2919500.4,0,0,0,0,2025-12-02T21:14:38Z
