load_name,timestamp,datetime,minute,cpu_cores,memory_gb,spans_per_sec,bytes_per_sec,p50_latency_ms,p90_latency_ms,p99_latency_ms,query_failures_per_sec,dropped_spans_per_sec,discarded_spans_per_sec
"low",1764635233,"2025-12-02T00:27:13Z",1,0.49000303644078147,2.071514129638672,7048.533333333333,773489.2,160.57692307692238,1351.351351351348,2385.135135135135,0,0,0
"low",1764635293,"2025-12-02T00:28:13Z",2,1.687890047623825,2.084026336669922,6997.333333333333,767821.1,771.3310580204768,2062.7986348122863,2456.2798634812284,0,0,0
"low",1764635353,"2025-12-02T00:29:13Z",3,3.045178372101034,2.1626243591308594,7082.666666666667,777135.2666666666,1054.176072234761,2210.8352144469527,2471.083521444695,0,0,0
"low",1764635413,"2025-12-02T00:30:13Z",4,4.404447743735367,2.3203468322753906,7065.599999999999,775871.5666666667,1158.1419624217106,2231.628392484342,2473.162839248434,0,0,0
"low",1764635473,"2025-12-02T00:31:13Z",5,5.9650196043917845,2.230968475341797,7031.466666666666,771086.9,1334.9358974358965,2423.397435897435,4652.04918032787,0,0,0
"very-high",1764637789,"2025-12-02T01:09:49Z",1,5.830146015381414,7.395259857177734,7355.733333333334,807389.5,10000,10000,10000,0,0,0
"very-high",1764637849,"2025-12-02T01:10:49Z",2,6.337332658492029,5.949974060058594,12921.7,1415752.3666666667,7461.301846977953,10000,10000,0,0,0
"very-high",1764637909,"2025-12-02T01:11:49Z",3,5.717450577047149,6.214088439941406,11077.7,1213444.8666666667,7637.223974763407,10000,10000,0,0,0
"very-high",1764637969,"2025-12-02T01:12:49Z",4,7.70559533289792,6.947551727294922,11692.833333333334,1277876.4,7818.610923803102,10000,10000,0,0,0
"very-high",1764638029,"2025-12-02T01:13:49Z",5,9.362755565508511,8.118064880371094,12614.833333333334,1380823.0666666667,8191.991997113824,10000,10000,0,0,0
"very-high",1764638089,"2025-12-02T01:14:49Z",6,9.183207974140306,7.352001190185547,33997.76666666666,3726230.933333333,3696.017195865456,4838.41663604493,8848.540843154971,0,0,0
"very-high",1764638149,"2025-12-02T01:15:49Z",7,9.129427600523426,8.263919830322266,35056.166666666664,3843410.1,3674.2112482853227,4833.058984910836,8820.111731843572,0,0,31866.70075444445
"very-high",1764638209,"2025-12-02T01:16:49Z",8,9.06617426600905,8.846195220947266,33401.2,3664544.6,3677.412529327717,4839.400092846938,8881.818181818177,0,0,33367.066666666666
"very-high",1764638269,"2025-12-02T01:17:49Z",9,9.146289736790518,8.913509368896484,29474.933333333334,3230853.3666666667,3689.6168795113826,4853.41476957246,8992.307692307688,0,0,29543.2
"very-high",1764638329,"2025-12-02T01:18:49Z",10,9.123889808788512,8.745624542236328,30737.933333333334,3370964.6666666665,3691.459122902004,4841.7027612344355,8887.696335078535,0,0,30601.333333333332
"very-high",1764638389,"2025-12-02T01:19:49Z",11,9.114687569743985,8.746234893798828,34134.566666666666,3741387.6,3658.909574468085,4824.867021276595,8747.428571428574,0.017241379310344827,0,34185.76666666666
"very-high",1764638449,"2025-12-02T01:20:49Z",12,9.168496610111308,8.79083251953125,36609.03333333333,4008197.2333333334,3599.3729552889863,4806.025081788441,8599.367088607616,0,0,36609.03333333333
"very-high",1764638509,"2025-12-02T01:21:49Z",13,9.220561437090847,8.63460922241211,34236.833333333336,3753497.466666667,3705.3925455987314,4842.056568860693,8874.345549738226,0,0,34356.433333333334
"very-high",1764638569,"2025-12-02T01:22:49Z",14,9.244828811469123,8.65798568725586,36882.1,4042184.033333333,3633.6565096952904,4827.562326869806,8815.934065934069,0,0,37001.566666666666
"very-high",1764638629,"2025-12-02T01:23:49Z",15,9.21571969873476,9.167434692382812,56918.76666666666,6241110.9,3417.947453727029,4769.4350551261205,8425.67567567567,0,0,14046.3
"very-high",1764638689,"2025-12-02T01:24:49Z",16,7.9855957876716905,8.144180297851562,64153.6,7042166.833333333,40.17830650172666,587.1101416121577,1862.8365823280567,0,0,0
"very-high",1764638749,"2025-12-02T01:25:49Z",17,6.920789838981415,11.060218811035156,52241.066666666666,5729792.933333334,33.14466615502686,169.07725321888424,4985.416666666582,0,0,0
"very-high",1764638809,"2025-12-02T01:26:49Z",18,5.682976251512808,11.105537414550781,64085.333333333336,7031088.233333333,10000,10000,10000,1.062171418466591,0,0
"very-high",1764638869,"2025-12-02T01:27:49Z",19,5.714250322815581,10.469154357910156,63692.799999999996,6986301.566666666,10000,10000,10000,0.8806998420789606,0,0
"very-high",1764638929,"2025-12-02T01:28:49Z",20,4.99953751141065,12.572162628173828,64000,7023530.166666667,10000,10000,10000,0.7413793103448276,0,64000
"very-high",1764638989,"2025-12-02T01:29:49Z",21,6.127405986276717,12.792915344238281,63658.666666666664,6987205.399999999,10000,10000,10000,0,0,63624.53333333333
"very-high",1764639049,"2025-12-02T01:30:49Z",22,6.037434528781797,12.524681091308594,64153.6,7039782.266666667,7784.233668341711,10000,10000,0,0,64136.53333333333
"very-high",1764639109,"2025-12-02T01:31:49Z",23,5.70770120689246,11.429061889648438,64051.2,7028233.066666666,7544.24778761062,9595.132743362832,10000,0,0,64051.2
"very-high",1764639169,"2025-12-02T01:32:49Z",24,5.415219725125377,11.017894744873047,64119.46666666667,7036707.233333333,7540.703781512604,9579.569327731091,10000,0,0,64136.53333333333
"very-high",1764639229,"2025-12-02T01:33:49Z",25,4.979358550807673,11.353763580322266,63931.73333333333,7015434.333333333,7549.175970228603,9618.288144603934,10000,0,0,63863.46666666667
"very-high",1764639289,"2025-12-02T01:34:49Z",26,4.440703366037289,11.684459686279297,64119.46666666667,7034000.2,7401.185770750988,9486.166007905136,9955.286561264822,0,0,64119.46666666667
"very-high",1764639349,"2025-12-02T01:35:49Z",27,4.397138784482908,11.461715698242188,64017.066666666666,7026130.133333333,7488.64209994952,9542.150429076224,10000,0,0,64034.13333333333
"very-high",1764639409,"2025-12-02T01:36:49Z",28,4.474703353791063,11.19635009765625,64085.333333333336,7038845.833333333,7587.597330367076,9784.482758620694,10000,0,0,64085.333333333336
"very-high",1764639469,"2025-12-02T01:37:49Z",29,4.567797136465866,11.5079345703125,64017.066666666666,7025283.566666666,7263.477801268498,9537.262156448203,10000,0,0,64000
"very-high",1764639529,"2025-12-02T01:38:49Z",30,4.711218808761366,11.103256225585938,50430.63333333333,5536243.066666666,7291.87314172448,9486.124876114964,9979.831516352824,0,0,50430.63333333333
