load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,timestamp
low,0,5,1334.9358974358965000,2423.397435897435000,4652.04918032787000,2.599208741700243,2.3203468322753906,3.045178372101034,2.3203468322753906,3.7,3.0,7031.466666666666,771086.9,0,0,0,2025-12-02T00:31:13Z
very-high,0,30,2389.455245549804000,4459.117516301126000,4948.579208654415000,7.120395397530849,3.98394775390625,8.954570112644129,3.98394775390625,10.8,5.0,64069.722222222226,7031320.962962964,0.0033557046979865775,0,0,2025-12-01T03:36:55Z
