load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,discarded_spans_per_sec,timestamp
high,0,45,340.90743440233234000,862.2611464968151000,2270.247695852535000,3.9645869464470866,31.567123413085938,4.096386922805471,31.567123413085938,5.0,38.0,30331.25925925926,3328827.414814815,0,0,0,0,2025-12-03T07:49:52Z
low,0,45,105.23135359116031000,408.1987075928919000,963.6772486772484000,3.04379505855928,2.9814491271972656,4.054310528612869,2.9814491271972656,4.9,4.0,7048.533333333334,774032.0555555556,0,0,0,0,2025-12-03T06:16:00Z
medium,0,45,694.3683409436835000,1873.5083532219563000,2474.4033412887823000,3.773785749485316,19.62773895263672,4.089779780766589,19.62773895263672,4.9,24.0,17614.381481481483,1932946.3777777778,0,0,0,0,2025-12-03T07:02:56Z
