load_name,timestamp,datetime,minute,cpu_cores,memory_gb,spans_per_sec,bytes_per_sec,p50_latency_ms,p90_latency_ms,p99_latency_ms,query_failures_per_sec,dropped_spans_per_sec,discarded_spans_per_sec
"high",1764745551,"2025-12-03T07:05:51Z",1,2.8008775803781774,1.8364944458007812,30225.066666666666,3316781.966666667,133.25888156135989,463.625304136253,1597.4999999999995,0,0,0
"high",1764745611,"2025-12-03T07:06:51Z",2,3.8708084035402623,2.52362060546875,30242.13333333333,3315771.533333333,229.47706864079933,629.2452830188679,2036.4361702127658,0,0,0
"high",1764745671,"2025-12-03T07:07:51Z",3,3.478482830641581,3.1173553466796875,30344.533333333333,3332402,227.1565495207668,497.2330097087378,2121.217391304346,0,0,0
"high",1764745731,"2025-12-03T07:08:51Z",4,4.3636015111373565,3.1172561645507812,30344.533333333333,3328536.533333333,233.13704496788006,539.3939393939381,2096.666666666666,0,0,0
"high",1764745791,"2025-12-03T07:09:51Z",5,4.97972641886889,4.665592193603516,30259.2,3319079.5,260.6030392641037,656.446082962169,2110.4054054054054,0,0,0
"high",1764745851,"2025-12-03T07:10:51Z",6,4.748773812104397,5.310016632080078,30361.6,3331063.3666666667,386.76049010342575,863.4688691232526,1920.1999999999932,0,0,0
"high",1764745911,"2025-12-03T07:11:51Z",7,4.582464729455972,5.312259674072266,30361.6,3330181.9,334.0193271295633,735.9154929577462,998.9436619718304,0,0,0
"high",1764745971,"2025-12-03T07:12:51Z",8,4.277993567623076,6.376991271972656,30344.533333333333,3329244.6,321.32667617689015,682.9493087557603,983.8479262672814,0,0,0
"high",1764746031,"2025-12-03T07:13:51Z",9,4.27975627285664,6.3789215087890625,30361.6,3329698.5666666664,333.1853693181818,731.855670103093,1091.451612903212,0,0,0
"high",1764746091,"2025-12-03T07:14:51Z",10,3.9306018345869833,7.240928649902344,30293.333333333332,3325353.4,333.0498866213151,770.3454894433777,1659.7115384615174,0,0,0
"high",1764746151,"2025-12-03T07:15:51Z",11,3.4670475485882775,8.612510681152344,30310.399999999998,3326813.466666667,321.8003084040093,737.4747474747481,1050.5000000000268,0,0,0
"high",1764746211,"2025-12-03T07:16:51Z",12,3.9548575191908952,9.183074951171875,30310.399999999998,3325354.4,327.06567796610165,703.2008830022073,992.1743929359818,0,0,0
"high",1764746271,"2025-12-03T07:17:51Z",13,3.020915204958445,9.185779571533203,30293.333333333332,3325981.933333333,348.9977307110439,805.620805369127,1760.9322033898166,0,0,0
"high",1764746331,"2025-12-03T07:18:51Z",14,3.9826358800675234,10.212692260742188,30310.399999999998,3325696,320.39096126255373,689.8601398601387,995.2097902097896,0,0,0
"high",1764746391,"2025-12-03T07:19:51Z",15,4.00338007567371,11.387989044189453,30276.266666666666,3321606.5,356.3186813186814,834.2057761732864,2087.5714285714316,0,0,0
"high",1764746451,"2025-12-03T07:20:51Z",16,4.0208210955223,11.389999389648438,30395.733333333334,3336832.966666667,345.44106745737577,797.4820143884887,1838.1818181818105,0,0,0
"high",1764746511,"2025-12-03T07:21:51Z",17,3.523654498290984,12.069908142089844,30327.466666666667,3327941.1,341.84823441021797,803.6750483558998,1995.9302325581386,0,0,0
"high",1764746571,"2025-12-03T07:22:51Z",18,3.9971880727247076,12.682743072509766,30361.6,3331529.6333333333,346.11880466472303,781.9244604316544,1576.0638297872258,0,0,0
