load_name,container,pod,avg_cpu_cores,avg_cpu_millicores,avg_cpu_percent,max_cpu_cores,max_cpu_millicores,max_cpu_percent,avg_memory_gb,avg_memory_percent,max_memory_gb,max_memory_percent
high,tempo,tempo-simplest-0,6.598751293835233,6598.751293835233,95.47,10.88142787875815,10881.42787875815,96.03,2.220804723103841,95.59,3.5322914123535156,96.73
high,tempo-gateway,tempo-simplest-0,0.21238879026642118,212.38879026642118,3.07,0.3032263962494904,303.2263962494904,2.68,0.07785898844401042,3.35,0.09202194213867188,2.52
high,tempo-gateway-opa,tempo-simplest-0,0.10077237749830517,100.77237749830518,1.46,0.14621907214336557,146.21907214336557,1.29,0.01975733439127604,0.85,0.02272796630859375,0.62
high,tempo-query,tempo-simplest-0,1.0585196984708785e-06,0.0010585196984708785,0.0,3.4264221216563667e-06,0.0034264221216563666,0.0,0.0047607421875,0.2,0.0047607421875,0.13
low,tempo,tempo-simplest-0,0.0014974081557281287,1.4974081557281287,65.41,0.002042526059746839,2.0425260597468387,65.36,1.3579304602838331,94.59,3.0339622497558594,96.39
low,tempo-gateway,tempo-simplest-0,0.0006005476833685353,0.6005476833685353,26.23,0.0008237554098619214,0.8237554098619214,26.36,0.05059716009324597,3.52,0.08535003662109375,2.71
low,tempo-gateway-opa,tempo-simplest-0,0.0001909643661820437,0.1909643661820437,8.34,0.0002579061027590121,0.2579061027590121,8.25,0.02234046689925655,1.56,0.02353668212890625,0.75
low,tempo-query,tempo-simplest-0,4.80620727067868e-07,0.000480620727067868,0.02,6.397571523619483e-07,0.0006397571523619483,0.02,0.004753851121471774,0.33,0.0047760009765625,0.15
medium,tempo,tempo-simplest-0,3.6452272187526877,3645.227218752688,98.0,5.323527423941878,5323.527423941879,98.14,2.4186935424804688,96.11,2.4186935424804688,95.63
medium,tempo-gateway,tempo-simplest-0,0.05455647669541066,54.55647669541066,1.47,0.07332964511451609,73.32964511451608,1.35,0.07356236775716146,2.92,0.0829315185546875,3.28
medium,tempo-gateway-opa,tempo-simplest-0,0.019930594297611525,19.930594297611524,0.54,0.027386486258592035,27.386486258592036,0.5,0.02103869120279948,0.84,0.0243377685546875,0.96
medium,tempo-query,tempo-simplest-0,2.6940500713342367e-06,0.0026940500713342366,0.0,3.1172576288222647e-06,0.0031172576288222647,0.0,0.00330352783203125,0.13,0.00330352783203125,0.13
very-high,tempo,tempo-simplest-0,6.208206359526028,6208.206359526028,94.03,9.803278361202887,9803.278361202887,94.02,2.050533930460612,95.01,3.1334228515625,96.01
very-high,tempo-gateway,tempo-simplest-0,0.25851008143771265,258.51008143771264,3.92,0.4077898833025466,407.7898833025466,3.91,0.0813123067220052,3.77,0.10060882568359375,3.08
very-high,tempo-gateway-opa,tempo-simplest-0,0.13561948377114935,135.61948377114936,2.05,0.21577275982896088,215.7727598289609,2.07,0.021519851684570313,1.0,0.024829864501953125,0.76
very-high,tempo-query,tempo-simplest-0,6.78290794081394e-07,0.0006782907940813941,0.0,8.564087924636017e-07,0.0008564087924636017,0.0,0.0048065185546875,0.22,0.0048065185546875,0.15
