load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,timestamp
high,0,30,610.2726632457994000,1018.4544992374194000,2351.8454499237422000,5.1939466741012135,1.88,6.584664821773589,2.0542373657226562,7.9,2.5,36513.18518518519,4007359.4333333336,0.01342281879194631,0.0200,0,2025-11-29T01:13:08Z
low,0,30,1622.886597938144000,2486.6391752577313000,4733.5114503816795000,4.015655351802602,2.05,1.4019164736927059,2.0530776977539062,1.7,2.5,6958.65925925926,763511.4370370371,0,0,0,2025-11-29T00:11:15Z
medium,0,30,453.44587539157677000,923.6096537250781000,2133.4049586776818000,4.45411674387985,1.97,5.477899097000649,2.3215789794921875,6.6,3.0,18099.662962962964,1986094.2925925928,0,0,0,2025-11-29T00:42:11Z
very-high,0,30,598.4257946952823000,994.6800971856649000,2341.487580993519000,5.353999916870906,1.81,6.3790179149876,2.10528564453125,7.7,2.5,63536.25925925926,6973803.87037037,0.0033557046979865775,0,0,2025-11-29T01:44:04Z
