load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,timestamp
high,0,30,568.5861423220973000,981.2994173949228000,2320.8616429894944000,5.173134700915055,1.90,6.662444702095013,2.696697235107422,8.0,3.5,36526.45925925926,4008576.718518519,0.0033557046979865775,0,0,2025-11-29T03:23:40Z
low,0,30,1465.3792623521227000,2449.7912317327772000,4685.9236234458255000,3.7217087754798324,1.94,1.9189534061026257,1.9475555419921875,2.3,2.5,7054.222222222223,774200.5222222223,0,0,0,2025-11-29T02:21:48Z
medium,0,30,495.50254204145494000,964.1769514345246000,2284.521484375000,4.0826282759357655,2.81,6.096335920411214,3.3341217041015625,7.4,4.0,17801.255555555555,1953545.0777777778,0,0,0,2025-11-29T02:52:44Z
very-high,0,30,592.9029078363726000,983.2429768358797000,2318.902439024389000,5.365468464735524,1.94,6.478651272734797,2.1970596313476562,7.8,3.0,64121.362962962965,7037902.485185185,0,0,0,2025-11-29T03:54:37Z
