load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,timestamp
high,0,30,391.6096908442331000,849.739463601533000,1276.514598540152000,5.131385249809922,2.02,7.043515776479826,3.620758056640625,8.5,4.5,35533.06296296296,3899283.437037037,0.0033557046979865775,0,0,2025-11-29T16:51:36Z
low,0,30,3158.499234303216000,4786.589367753226000,8948.87005649717000,5.47717547514837,2.66,1.7537560847578793,3.1425209045410156,2.1,4.0,6908.555555555556,757912.662962963,0,0,0,2025-11-29T15:49:44Z
medium,0,30,610.450903164471000,1194.7721962616824000,2369.4772196261686000,4.544820558154253,2.11,7.055029504698171,3.1141128540039062,8.5,4.0,18122.666666666668,1933624.2037037038,0.0033557046979865775,0,0,2025-11-29T16:20:40Z
very-high,0,30,475.5939412802157000,931.215496368039000,2145.3314121037477000,5.762953501976143,2.01,6.740434838986959,3.229419708251953,8.1,4.0,64131.51111111111,7037575.85925926,0.006711409395973155,0,0,2025-11-29T17:22:33Z
