load_name,timestamp,datetime,minute,cpu_cores,memory_gb,spans_per_sec,bytes_per_sec,p50_latency_ms,p90_latency_ms,p99_latency_ms,query_failures_per_sec,dropped_spans_per_sec
"high",1764486668,"2025-11-30T07:11:08Z",1,9.047447414820317,3.184398651123047,31300.766666666666,3433376.7333333334,3737.243438798384,4869.80910331048,9074.401913875594,0,0
"high",1764486728,"2025-11-30T07:12:08Z",2,10.860139055177134,3.115467071533203,33104.07510986816,3632570.015980823,3716.8018953018163,4812.535479044092,8415.999999999996,0,0
"high",1764486788,"2025-11-30T07:13:08Z",3,10.916004780869155,3.2713546752929688,32990,3618935.8333333335,3715.811965811966,4849.7150997151,8935.828877005351,0,0
"high",1764486848,"2025-11-30T07:14:08Z",4,10.867148446631374,3.0928192138671875,38126.933333333334,4184214.933333333,3814.8090655076057,4962.278795405153,9424.299065420559,0,0
"high",1764486908,"2025-11-30T07:15:08Z",5,10.757087118788048,3.0903472900390625,38434.13333333333,4218988.066666666,3817.7474937343354,4959.664786967418,9417.731629392967,0,0
"high",1764486968,"2025-11-30T07:16:08Z",6,10.67377832997135,3.0233535766601562,40721.066666666666,4470189.966666667,3729.982842436374,4834.072061767229,8746.428571428574,0,0
"high",1764487028,"2025-11-30T07:17:08Z",7,10.688256750423701,2.9945526123046875,36744.53333333333,4032774.3666666667,3747.437774524159,4877.159590043925,9115.137614678912,0,0
"high",1764487088,"2025-11-30T07:18:08Z",8,10.721586835328536,3.0039405822753906,36113.066666666666,3965101.8333333335,3779.8864315600717,4900.029886431559,9222.406639004148,0,0
"high",1764487148,"2025-11-30T07:19:08Z",9,10.817727203689687,3.0107345581054688,37154.13333333333,4076220.466666667,3746.438746438747,4848.433048433049,8888.505747126444,0,0
"high",1764487208,"2025-11-30T07:20:08Z",10,10.779686275057557,3.1006088256835938,35754.666666666664,3922456.6999999997,3816.5905631659048,4946.575342465753,9383.388704318933,0,0
"high",1764487268,"2025-11-30T07:21:08Z",11,10.7241477537563,3.1110877990722656,37239.46666666667,4084473.933333333,3778.7816962984557,4900.9035266686105,9226.907630522095,0,0
"high",1764487328,"2025-11-30T07:22:08Z",12,10.713609460680155,2.9929962158203125,35874.13333333333,3935951.5666666664,3783.5494571773224,4911.112786489747,9269.726562500004,0,0
"high",1764487388,"2025-11-30T07:23:08Z",13,10.619910359020619,3.049938201904297,36386.13333333333,3995617.6,3838.7073027090696,4909.673144876326,9245.435684647306,0,0
"high",1764487448,"2025-11-30T07:24:08Z",14,10.601050994237717,3.0255470275878906,36437.333333333336,3998099.4,3794.4128017358294,4833.1977217249805,8602.189781021922,0,0
"high",1764487508,"2025-11-30T07:25:08Z",15,10.473830925095777,3.0489730834960938,36334.933333333334,3987490.1666666665,3747.488699146158,4769.588146659971,4999.560522350578,0,0
"high",1764487568,"2025-11-30T07:26:08Z",16,10.180765952222933,2.9791526794433594,36369.066666666666,3994560.1666666665,3719.808266932271,4766.372011952192,5330.000000000311,0,0
"high",1764487628,"2025-11-30T07:27:08Z",17,10.239899939743717,2.8986358642578125,36727.46666666667,4032848.5,3406.0610225398573,4681.761957119296,4968.79466739967,0,0
"high",1764487688,"2025-11-30T07:28:08Z",18,10.23226867159273,2.960094451904297,36352,3990343,1725.6391999581003,3533.773904767747,4853.377390476775,0,0
"high",1764487748,"2025-11-30T07:29:08Z",19,9.907467842574903,2.6445159912109375,36522.666666666664,4007585.3,436.90148640358785,994.1754916792744,2344.513064133018,0,0
"high",1764487808,"2025-11-30T07:30:08Z",20,9.339564774481234,2.5996360778808594,36471.46666666667,4003520.6999999997,407.55581785670137,940.7407407407404,2276.0273972602736,0,0
"high",1764487868,"2025-11-30T07:31:08Z",21,8.497740936675404,2.5543251037597656,36522.666666666664,4009511.1999999997,310.5014444410027,811.1111111111106,1802.0212765957426,0,0
"high",1764487928,"2025-11-30T07:32:08Z",22,7.618722195920877,2.5493927001953125,36505.6,4002049.5,249.77849970466625,686.25,974.5808823529416,0,0
"high",1764487988,"2025-11-30T07:33:08Z",23,7.095965719973021,2.5468063354492188,36556.8,4013936.2666666666,262.7742946708464,684.4715447154473,1111.3829787233929,0,0
"high",1764488048,"2025-11-30T07:34:08Z",24,6.775320525936857,2.5566673278808594,36522.666666666664,4008187.8666666667,261.8665811417576,694.9695121951227,993.5060975609762,0,0
"high",1764488108,"2025-11-30T07:35:08Z",25,6.624539916230058,2.551830291748047,36522.666666666664,4007658.7666666666,248.19753810082062,699.4814814814814,988.6148148148148,0,0
"high",1764488168,"2025-11-30T07:36:08Z",26,6.052542191671128,2.440044403076172,36556.8,4013194.0666666664,345.56339220907626,772.3049310486185,988.1704648719996,0,0
"high",1764488228,"2025-11-30T07:37:08Z",27,5.281683828560555,2.4245834350585938,36539.73333333333,4009935.4,325.6015455561225,743.7500000000001,981.4745145631069,0,0
"low",1764482659,"2025-11-30T06:04:19Z",1,1.2703794046775665,2.1112289428710938,7065.599999999999,775012,178.07574335930818,755.2411726884935,975.5241172688494,0,0
"low",1764482719,"2025-11-30T06:05:19Z",2,2.2969528992380344,2.055713653564453,7048.533333333333,774031.9666666667,198.54227005675125,854.2017059888143,2037.2340425531954,0,0
"low",1764482779,"2025-11-30T06:06:19Z",3,3.466460170356813,2.087207794189453,7031.466666666666,772702,250.79156267645885,1602.4793388429762,2410.2479338842977,0,0
"low",1764482839,"2025-11-30T06:07:19Z",4,4.855810932216378,2.136547088623047,7048.533333333333,773661.6666666666,328.0405405405405,1971.7233009708739,2447.1723300970875,0,0
"low",1764482899,"2025-11-30T06:08:19Z",5,6.369509262577172,2.19287109375,7031.466666666666,771943.0333333333,367.61083743842363,1940.8740359897174,2444.087403598972,0,0
