load_name,timestamp,datetime,minute,cpu_cores,memory_gb,spans_per_sec,bytes_per_sec,p50_latency_ms,p90_latency_ms,p99_latency_ms,query_failures_per_sec,dropped_spans_per_sec
"high",1764471685,"2025-11-30T03:01:25Z",1,4.902612932476236,1.950592041015625,36454.4,4003421.2333333334,181.34328358208955,481.6027088036118,941.1891891891895,0,0
"high",1764471745,"2025-11-30T03:02:25Z",2,5.126298428748968,1.9528465270996094,36488.53333333333,4004584.1333333333,156.39591439688715,473.0544747081711,942.7105263157899,0.017241379310344827,0
"low",1764464366,"2025-11-30T00:59:26Z",1,3.975244551855787,2.499267578125,7048.533333333333,774843.5333333333,2251.2422360248447,4439.878892733565,5453.125000000094,0,0
"low",1764464426,"2025-11-30T01:00:26Z",2,3.9726540770112346,2.6618003845214844,7058.9,775078.2,2402.1739130434785,4464.705882352941,4946.470588235295,0,0
"medium",1764468026,"2025-11-30T02:00:26Z",1,2.8228847085765314,1.9708747863769531,18158.933333333334,1994278.1666666667,313.74106433677525,718.7866927592951,974.5205479452048,0,0
"medium",1764468086,"2025-11-30T02:01:26Z",2,2.8333976908349605,1.9724388122558594,15103.866666666667,1656584.3333333333,279.3560606060607,731.7907444668002,994.9094567404412,0,0
"very-high",1764475345,"2025-11-30T04:02:25Z",1,3.924836873955533,2.0170135498046875,64085.333333333336,7037748.033333333,345.9691826708355,765.915915915917,981.0960960960965,0.034482758620689655,0
"very-high",1764475405,"2025-11-30T04:03:25Z",2,3.9262562640832943,2.016918182373047,64085.333333333336,7032781.333333333,279.10375060886525,592.6495726495742,962.3418803418801,0,0
