load_name,timestamp,datetime,minute,cpu_cores,memory_gb,spans_per_sec,bytes_per_sec,p50_latency_ms,p90_latency_ms,p99_latency_ms,query_failures_per_sec,dropped_spans_per_sec
"high",1764524652,"2025-11-30T17:44:12Z",1,8.539935109576774,3.289073944091797,36556.8,4011712.8333333335,472.73303741280915,991.4285714285704,2346.479217603908,0,0
"high",1764524712,"2025-11-30T17:45:12Z",2,8.491692068813759,3.519428253173828,36300.8,3985048.1999999997,463.6085626911314,1076.6375545851438,2366.506550218338,0.017241379310344827,0
"low",1764517207,"2025-11-30T15:40:07Z",1,9.30283615996149,4.088661193847656,7014.4,768293.3333333334,1967.517401392111,4158.4766584766585,4954.545454545455,0,0
"low",1764517267,"2025-11-30T15:41:07Z",2,9.517015032261236,3.7253456115722656,6972.266666666666,765085.2666666666,598.2142857142859,1828.9719626168235,2441.308411214954,0,0
"medium",1764520931,"2025-11-30T16:42:11Z",1,6.7584895753850605,4.2437591552734375,18090.666666666668,1986281.7666666666,367.6125703564729,923.491379310345,2262.2252747252755,0,0
"medium",1764520991,"2025-11-30T16:43:11Z",2,6.687897268664392,4.371585845947266,14729.5,1616358.7666666666,177.1905424200278,731.1881188118809,1909.729729729732,0,0
"very-high",1764528377,"2025-11-30T18:46:17Z",1,8.225870546929702,3.5543899536132812,63573.333333333336,6975044.8,2970.3404703404703,4608.108108108108,4976.605826605826,0.017241379310344827,0
"very-high",1764528437,"2025-11-30T18:47:17Z",2,8.228311292653883,3.618114471435547,63982.933333333334,7023764.333333333,2059.8536737235363,4185.48927613941,4920.056970509384,0,0
