load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,timestamp
high,0,30,396.8656639538477000,853.3448847370794000,1063.6343612334125000,5.143261394923807,1.86,6.4794790910854525,2.0959434509277344,7.8,2.5,36515.08148148148,4007287.1333333333,0.006711409395973155,0,0,2025-11-29T05:35:07Z
low,0,30,1380.7388809182208000,2408.7159253945485000,4612.283549783552000,3.921560994502904,2.10,1.866020387553982,2.138538360595703,2.3,3.0,7050.42962962963,774197.0814814816,0,0,0,2025-11-29T04:33:15Z
medium,0,30,316.98113207547174000,664.3573381950781000,969.9225159525977000,4.1258705242421,1.81,5.916682658048426,2.3915481567382812,7.1,3.0,18111.525925925926,1987859.237037037,0.0033557046979865775,0,0,2025-11-29T05:04:11Z
very-high,0,30,556.8909442016463000,967.5221059050714000,2280.582910934103000,5.192553247631523,1.90,6.029745593712748,2.086772918701172,7.3,2.5,64127.05185185185,7037074.496296297,0.0033557046979865775,0,0,2025-11-29T06:06:04Z
