load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,timestamp
high,0,30,294.10909637444405000,725.5064121039688000,989.9396491901431000,0,3.50,9.263756988143047,3.485118865966797,11.2,4.5,36526.45925925926,4008680.6296296297,0,0,0,2025-11-30T07:37:08Z
low,0,5,1710.8540925266904000,3730.0347222222223000,4873.003472222223000,3.5890369818142234,2.2855262756347656,4.218789706092162,2.2855262756347656,5.1,3.0,6370.033333333333,699953.5000000001,0,0,0,2025-11-30T14:36:43Z
medium,0,30,180.43286299223943000,421.26682194617004000,728.7728937728994000,0,4.10,8.859025409561221,4.1009063720703125,10.7,5.0,17922.003703703704,1967472.4888888889,0,0,0,2025-11-30T07:05:14Z
very-high,0,30,318.54629368871246000,699.2798075350731000,976.1192138052912000,0,3.16,8.00743889501439,3.1314353942871094,9.6,4.0,64081.54074074074,7032356.903703704,0.0033557046979865775,0,0,2025-11-30T08:09:03Z
