load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,timestamp
high,0,5,419.6750902527075000,903.497501784439000,2108.571428571426000,0,1.69,1.6313691030966524,1.6904869079589844,2.0,2.0,36505.6,4007300.3666666667,0,0,0,2025-11-30T05:12:03Z
low,0,5,2.7072442120985828000,4.873039581777449000,21.02941176470611000,0,0.87,0.1029849089189962,0.8699722290039062,0.2,1.0,0,0,0,0,0,2025-11-30T04:58:34Z
medium,0,5,2.6634827332843508000,4.794268919911831000,14.999999999999795000,0,1.14,0.18834878426898813,1.1467018127441406,0.3,1.5,0,0,0,0,0,2025-11-30T05:05:19Z
very-high,0,5,25.66666666666696000,396.6804979253121000,879.6551724137949000,0,2.88,5.628352427445307,2.5808258056640625,6.8,3.5,0,0,0,0,0,2025-11-30T05:17:57Z
