load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,timestamp
high,0,1,463.6085626911314000,1076.6375545851439000,2366.506550218338000,8.515813589195266,3.519428253173828,8.539935109576774,3.519428253173828,10.3,4.5,36300.8,3985048.1999999997,0.017241379310344827,0.0200,0,2025-11-30T17:45:12Z
low,0,1,594.188376753507000,1824.2902208201892000,2440.9463722397478000,9.409925596111364,4.088661193847656,9.517015032261236,4.088661193847656,11.5,5.0,6972.266666666666,765085.2666666666,0,0,0,2025-11-30T15:41:08Z
medium,0,1,177.1905424200278000,731.188118811881000,1909.729729729732000,6.7231934220247265,4.371585845947266,6.7584895753850605,4.371585845947266,8.2,5.5,14729.5,1616358.7666666666,0,0,0,2025-11-30T16:43:12Z
very-high,0,1,2059.8536737235364000,4185.4892761394105000,4920.056970509384000,8.227090919791792,3.618114471435547,8.228311292653883,3.618114471435547,9.9,4.5,63982.933333333334,7023764.333333333,0,0,0,2025-11-30T18:47:18Z
