load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,timestamp
high,0,1,156.39591439688716000,473.0544747081711000,942.7105263157899000,0,1.95,5.014455680612603,1.9528465270996094,6.1,2.5,36488.53333333333,4004584.1333333333,0.017241379310344827,0.0200,0,2025-11-30T03:02:26Z
low,0,1,2402.1739130434785000,4464.705882352941000,4946.470588235295000,0,2.66,3.9739493144335105,2.6618003845214844,4.8,3.5,7058.9,775078.2,0,0,0,2025-11-30T01:00:26Z
medium,0,1,279.35606060606066000,731.7907444668003000,994.9094567404412000,0,1.97,2.8281411997057457,1.9724388122558594,3.4,2.5,15103.866666666667,1656584.3333333337,0,0,0,2025-11-30T02:01:26Z
very-high,0,1,279.1037506088653000,592.6495726495742000,962.3418803418802000,0,2.01,3.9255465690194136,2.0170135498046875,4.8,2.5,64085.333333333336,7032781.333333333,0,0,0,2025-11-30T04:03:25Z
