load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,timestamp
high,0,45,253.2195867287543000,877.7121669870906000,2279.384772263761000,8.322524379279733,4.481075286865234,10.084660838409079,4.481075286865234,12.1,5.5,35795.76296296297,3929276.7851851853,0,0,0,2025-11-30T21:15:57Z
low,0,45,2245.252306022789000,4504.073872895165000,7273.1707317073075000,8.94644673902334,5.845806121826172,11.680417702527384,5.845806121826172,14.1,7.0,7016.951851851853,770183.8037037037,0,0,0,2025-11-30T19:42:04Z
medium,0,45,628.7399915718495000,1769.2181743757662000,2429.132214490381000,7.8797000227049265,4.783260345458984,11.176342375164403,4.783260345458984,13.5,6.0,18109.62962962963,1987277.1074074074,0,0,0,2025-11-30T20:29:00Z
very-high,0,45,1904.39985603743000,3536.1387869253593000,4854.007166579267000,8.061731532822895,4.712913513183594,8.938198884156765,4.712913513183594,10.8,6.0,64153.600000000006,7042345.933333334,0.0033557046979865775,0,0,2025-11-30T22:02:54Z
