load_name,timestamp,datetime,minute,cpu_cores,memory_gb,spans_per_sec,bytes_per_sec,p50_latency_ms,p90_latency_ms,p99_latency_ms,query_failures_per_sec,dropped_spans_per_sec,discarded_spans_per_sec
"low",1764635233,"2025-12-02T00:27:13Z",1,0.49000303644078147,2.071514129638672,7048.533333333333,773489.2,160.57692307692238,1351.351351351348,2385.135135135135,0,0,0
"low",1764635293,"2025-12-02T00:28:13Z",2,1.687890047623825,2.084026336669922,6997.333333333333,767821.1,771.3310580204768,2062.7986348122863,2456.2798634812284,0,0,0
"low",1764635353,"2025-12-02T00:29:13Z",3,3.045178372101034,2.1626243591308594,7082.666666666667,777135.2666666666,1054.176072234761,2210.8352144469527,2471.083521444695,0,0,0
"low",1764635413,"2025-12-02T00:30:13Z",4,4.404447743735367,2.3203468322753906,7065.599999999999,775871.5666666667,1158.1419624217106,2231.628392484342,2473.162839248434,0,0,0
"low",1764635473,"2025-12-02T00:31:13Z",5,5.9650196043917845,2.230968475341797,7031.466666666666,771086.9,1334.9358974358965,2423.397435897435,4652.04918032787,0,0,0
"very-high",1764635952,"2025-12-02T00:39:12Z",1,1.9281740398889229,4.5123291015625,13958.857066666667,1530028.8466666667,10000,10000,10000,0.03538235294117647,0,9419.657333333333
"very-high",1764636012,"2025-12-02T00:40:12Z",2,3.9510490939104788,4.170795440673828,22103.566666666666,2417025.7666666666,10000,10000,10000,0,0,19518.9
"very-high",1764636072,"2025-12-02T00:41:12Z",3,5.9120933107903415,3.7843666076660156,12682.533333333333,1387910.5,10000,10000,10000,0,0,12682.533333333333
"very-high",1764636132,"2025-12-02T00:42:12Z",4,7.7913921936489166,3.9712486267089844,13826.033333333333,1515254.3333333333,10000,10000,10000,0,0,13826.033333333333
"very-high",1764636192,"2025-12-02T00:43:12Z",5,9.481663058287298,4.105617523193359,14286.666666666666,1563276.2666666666,10000,10000,10000,0,0,14389.066666666666
