load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,discarded_spans_per_sec,timestamp
high,0,45,1823.8133318101328000,2920.751633986924000,4828.839869281042000,6.967813013749545,39.289215087890625,7.566609406195649,39.289215087890625,9.1,47.5,36494.222222222226,4004965.8185185185,0,0,0,0,2025-12-03T04:14:41Z
low,0,45,116.5064102564103000,455.3571428571435000,945.7031250000011000,3.1514503965779994,2.9793930053710938,3.931894636388825,2.9793930053710938,4.8,4.0,7048.533333333334,773940.5037037038,0,0,0,0,2025-12-03T02:40:47Z
medium,0,45,385.98623853211000,925.1679104477606000,2278.697585768744000,3.8863964676753144,18.738479614257812,3.9423307927813647,18.738479614257812,4.8,22.5,18094.45925925926,1985755.4037037038,0,0,0,0,2025-12-03T03:27:44Z
very-high,0,45,940.6903103229892000,2203.212121212122000,3314.025590551185000,6.25452024988694,51.240596771240234,6.46647354186565,51.240596771240234,7.8,61.5,53387.892592592594,5859095.866666667,0.006711409395973155,0,0,0,2025-12-03T05:02:24Z
