load_name,tps,duration_min,p50_latency_ms,p90_latency_ms,p99_latency_ms,avg_cpu_cores,max_memory_gb,sustained_cpu_cores,peak_memory_gb,recommended_cpu,recommended_memory_gb,spans_per_sec,bytes_per_sec,query_failures_per_sec,error_rate_percent,dropped_spans_per_sec,discarded_spans_per_sec,timestamp
high,0,45,978.5591094386956000,2377.492863470816000,4617.966263526416000,6.54732852935154,38.27064895629883,10.610074299306923,38.27064895629883,12.8,46.0,36480.94814814815,4004349.3333333335,0,0,0,0,2025-12-02T05:09:43Z
low,0,45,2333.77837116155000,6849.529780564294000,10000,7.761859897732556,5.764514923095703,11.525773240261657,5.764514923095703,13.9,7.0,7045.2444444444445,773101.5814814816,0,0,0,0,2025-12-02T03:35:36Z
medium,0,45,10000,10000,10000,7.851205979297374,21.008960723876953,11.224930306319527,21.008960723876953,13.5,25.5,18124.8,1920308.3185185187,3.0234899328859073,30.3100,0,0,2025-12-02T04:22:39Z
very-high,0,45,28.021576699364583000,10000,10000,5.527963064014226,52.84185028076172,9.210074519110425,52.84185028076172,11.1,63.5,65.95230833333333,7243.934033460318,5.333437060726091,18.4500,0,0,2025-12-02T06:01:01Z
