load_name,timestamp,datetime,minute,cpu_cores,memory_gb,spans_per_sec,bytes_per_sec,p50_latency_ms,p90_latency_ms,p99_latency_ms,query_failures_per_sec,dropped_spans_per_sec,discarded_spans_per_sec
"low",1764635233,"2025-12-02T00:27:13Z",1,0.49000303644078147,2.071514129638672,7048.533333333333,773489.2,160.57692307692238,1351.351351351348,2385.135135135135,0,0,0
"low",1764635293,"2025-12-02T00:28:13Z",2,1.687890047623825,2.084026336669922,6997.333333333333,767821.1,771.3310580204768,2062.7986348122863,2456.2798634812284,0,0,0
"low",1764635353,"2025-12-02T00:29:13Z",3,3.045178372101034,2.1626243591308594,7082.666666666667,777135.2666666666,1054.176072234761,2210.8352144469527,2471.083521444695,0,0,0
"low",1764635413,"2025-12-02T00:30:13Z",4,4.404447743735367,2.3203468322753906,7065.599999999999,775871.5666666667,1158.1419624217106,2231.628392484342,2473.162839248434,0,0,0
"low",1764635473,"2025-12-02T00:31:13Z",5,5.9650196043917845,2.230968475341797,7031.466666666666,771086.9,1334.9358974358965,2423.397435897435,4652.04918032787,0,0,0
"very-high",1764640846,"2025-12-02T02:00:46Z",1,0.07858815490477794,1.3780632019042969,32477.866666666665,3565816.533333333,10000,10000,10000,0,0,0
"very-high",1764640906,"2025-12-02T02:01:46Z",2,1.674583830529276,4.335926055908203,22495.1,2462769.8333333335,10000,10000,10000,0,0,0
"very-high",1764640966,"2025-12-02T02:02:46Z",3,3.829572581203528,5.20745849609375,32564.666666666668,3571063.0666666664,10000,10000,10000,0,0,0
"very-high",1764641026,"2025-12-02T02:03:46Z",4,5.784303809828635,6.869476318359375,30994.233333333334,3396466.7333333334,10000,10000,10000,0,0,0
"very-high",1764641086,"2025-12-02T02:04:46Z",5,8.05416319039,8.881591796875,30636.13333333333,3357473.933333333,10000,10000,10000,0,0,0
"very-high",1764641146,"2025-12-02T02:05:46Z",6,8.959299442755327,10.356781005859375,52840.6,5793392.6,9177.783563745294,10000,10000,0,0,0
"very-high",1764641206,"2025-12-02T02:06:46Z",7,8.801869944829257,12.554405212402344,64136.53333333333,7040090.566666666,7415.366749005136,9499.25892006166,9968.134658549377,0,0,0
"very-high",1764641266,"2025-12-02T02:07:46Z",8,8.34640487748909,14.338241577148438,64017.066666666666,7028341.633333333,7445.4201919811585,9539.87091330714,10000,0,0,0
"very-high",1764641326,"2025-12-02T02:08:46Z",9,7.895028901892429,16.34339141845703,64238.933333333334,7043564.5,7254.201293011528,9609.952940214516,10000,0,0,0
"very-high",1764641386,"2025-12-02T02:09:46Z",10,7.606040902425234,19.45358657836914,64136.53333333333,7037629.166666667,7323.804829965501,9466.732380482998,9948.891079349434,0,0,0
"very-high",1764641446,"2025-12-02T02:10:46Z",11,7.4182935584129925,24.427452087402344,62702.933333333334,6877995.766666667,7453.271028037383,9552.959501557632,10000,0,0,0
"very-high",1764641506,"2025-12-02T02:11:46Z",12,7.4448586939799934,26.941761016845703,61781.333333333336,6781410.033333333,7552.634243439279,9740.331791314362,10000,0,0,0
"very-high",1764641566,"2025-12-02T02:12:46Z",13,7.382889454017489,30.300899505615234,64136.53333333333,7038632.8,7445.449707291113,9618.946248004257,10000,0,0,0
"very-high",1764641626,"2025-12-02T02:13:46Z",14,7.449657536721273,29.892276763916016,64443.73333333333,7071624.066666666,7323.105248334436,9635.337243718615,10000,0,0,0
"very-high",1764641686,"2025-12-02T02:14:46Z",15,7.449796998793486,32.56379318237305,64136.53333333333,7042175.833333333,7316.787941787941,9494.542619542619,9984.537422037421,0,0,0
"very-high",1764641746,"2025-12-02T02:15:46Z",16,7.541408653053109,32.243408203125,64051.2,7027492.633333333,4569.902876540819,9015.723270440249,9989.622641509432,0,0,0
"very-high",1764641806,"2025-12-02T02:16:46Z",17,7.414326408642441,30.684921264648438,64187.73333333333,7044744.2,2014.7737242532503,4042.9475587703437,4904.294755877034,0,0,0
"very-high",1764641866,"2025-12-02T02:17:46Z",18,6.840927915591543,30.68868637084961,64221.86666666667,7044133.6,2046.892980437285,4118.459302325582,4911.845930232559,0,0,0
"very-high",1764641926,"2025-12-02T02:18:46Z",19,6.276670377014755,32.53410339355469,64102.4,7037750.033333333,2015.8719347712354,4045.0563204005016,4904.505632040049,0,0,0
"very-high",1764641986,"2025-12-02T02:19:46Z",20,5.696354551205999,32.83208084106445,64085.333333333336,7031991.666666667,2087.188835805884,4277.43544600939,6568.452380952392,0,0,0
"very-high",1764642046,"2025-12-02T02:20:46Z",21,5.486201462993615,33.56812286376953,64153.6,7042670.3,1953.5706527793818,4033.3622183708826,8232.386363636353,0,0,0
"very-high",1764642106,"2025-12-02T02:21:46Z",22,5.486590057726819,33.83807373046875,64119.46666666667,7039575.7,2045.4598370197905,4197.670807453414,6349.390243902409,0,0,0
"very-high",1764642166,"2025-12-02T02:22:46Z",23,5.450451793292002,34.31515121459961,64170.666666666664,7043883.233333333,2103.9728438521497,4232.296137339055,4938.921673819741,0,0,0
"very-high",1764642226,"2025-12-02T02:23:46Z",24,5.492821087476594,35.408172607421875,64136.53333333333,7041054.366666666,1995.305676855895,4067.2535211267577,6103.846153846053,0,0,0
"very-high",1764642286,"2025-12-02T02:24:46Z",25,5.547325457584855,36.894344329833984,64136.53333333333,7042074.933333334,2352.6196052099745,4655.466161855182,8883.050847457615,0,0,0
"very-high",1764642346,"2025-12-02T02:25:46Z",26,5.396053418504413,38.14035415649414,64119.46666666667,7036594.733333333,1956.9020695540858,4036.2511052166246,8154.320987654325,0,0,0
"very-high",1764642406,"2025-12-02T02:26:46Z",27,5.394095886873601,40.136199951171875,63829.333333333336,7002643.1,2138.021445654606,4495.483682983685,8720.045045045053,0,0,0
"very-high",1764642466,"2025-12-02T02:27:46Z",28,5.405212052856934,40.909244537353516,63692.799999999996,6988005.399999999,2281.3004025974333,4681.911613566291,9076.02739726027,0.017241379310344827,0,0
"very-high",1764642526,"2025-12-02T02:28:46Z",29,5.24258895380378,41.90011215209961,63675.73333333333,6987676.966666667,2120.977440709871,4577.515723270443,9056.600660066018,0,0,0
"very-high",1764642586,"2025-12-02T02:29:46Z",30,5.458909680901541,44.939857482910156,62408.9,6850309.533333333,1986.8847150259069,4204.273162939298,8555.687203791478,0,0,0
