load_name,timestamp,datetime,minute,cpu_cores,memory_gb,spans_per_sec,bytes_per_sec,p50_latency_ms,p90_latency_ms,p99_latency_ms,query_failures_per_sec,dropped_spans_per_sec,discarded_spans_per_sec
"high",1764709420,"2025-12-02T21:03:40Z",1,3.94870596925626,4.943809509277344,15957.333333333334,1748959.1333333333,4165.741375618546,8888.711849579284,10000,0,0,0
"high",1764709480,"2025-12-02T21:04:40Z",2,5.346072543916971,4.001827239990234,28605.833333333332,3132747.9,983.3608267293282,2778.6581737529104,4854.244332890943,0.01776166666666667,0,0
"high",1764709540,"2025-12-02T21:05:40Z",3,5.944715880169131,4.863914489746094,34679.46666666667,3806386.966666667,1307.5935955024909,3541.8006430868127,5720.833333333245,0,0,0
"high",1764709600,"2025-12-02T21:06:40Z",4,7.948933922517439,5.858959197998047,36010.666666666664,3951772.5,1495.1678535096646,3775.7092198581577,8395.199999999999,0,0,0
"high",1764709660,"2025-12-02T21:07:40Z",5,9.797188323270328,7.011028289794922,30566.733333333334,3352989.033333333,1437.3798552999772,3473.6327145827345,6850.746268656757,0,0,0
"low",1764708592,"2025-12-02T20:49:52Z",1,0.02566808482262206,0.32968902587890625,7014.4,769310.1666666666,24.500000000000014,719.8051948051948,971.9805194805195,0,0,0
"low",1764708652,"2025-12-02T20:50:52Z",2,0.8893833113139656,1.5784454345703125,7048.533333333333,773406.4333333333,68.452380952381,833.9357429718876,990.6224899598395,0,0,0
"low",1764708712,"2025-12-02T20:51:52Z",3,1.8860993877196621,1.652496337890625,7048.533333333333,772400.5,145.53571428571456,862.4113475177309,1056.6666666666922,0,0,0
"low",1764708772,"2025-12-02T20:52:52Z",4,2.886808941317994,1.6675186157226562,7048.533333333333,772660.3333333334,172.65625000000017,868.556701030928,1202.500000000013,0,0,0
"low",1764708832,"2025-12-02T20:53:52Z",5,4.091702555569738,1.7180824279785156,7082.666666666667,778763.5666666667,274.4252873563222,911.5740740740741,2053.6206896551744,0,0,0
"medium",1764709005,"2025-12-02T20:56:45Z",1,3.8898577349368177,4.1816558837890625,12868.266666666666,1412412.9333333333,2950.448709059801,6070.588235294115,9607.05882352941,0,0,0
"medium",1764709065,"2025-12-02T20:57:45Z",2,5.228097829111715,3.5839462280273438,20343.466666666667,2230537.3,1567.690383563395,4788.880598189295,9339.644970414198,0,0,0
"medium",1764709125,"2025-12-02T20:58:45Z",3,5.494819791341644,3.5174407958984375,18090.666666666668,1985085.5999999999,116.0220994475137,740.3846153846139,2025.9999999999927,0,0,0
"medium",1764709185,"2025-12-02T20:59:45Z",4,6.387925428101704,3.7366943359375,18124.8,1990056.8,140.28340080971657,661.2612612612618,974.2342342342347,0,0,0
"medium",1764709245,"2025-12-02T21:00:45Z",5,7.047745946286036,4.110874176025391,18124.8,1986853.5999999999,154.38209331651956,681.6964285714291,992.2767857142857,0,0,0
"very-high",1764709837,"2025-12-02T21:10:37Z",1,6.3557725686517115,4.655345916748047,9062.4,993781.5666666667,4338.704410592793,10000,10000,0,0,0
"very-high",1764709897,"2025-12-02T21:11:37Z",2,6.566324910057515,5.0143280029296875,27989.333333333332,3069794.8333333335,1397.0516829100243,4348.990760104346,9319.709543568471,0,0,0
"very-high",1764709957,"2025-12-02T21:12:37Z",3,5.7971144223155395,5.560382843017578,31387.1,3437587.8333333335,1423.282188125417,4394.736842105264,9196.170212765965,0,0,0
"very-high",1764710017,"2025-12-02T21:13:37Z",4,7.6859718423398515,6.7931365966796875,30516.033333333333,3342285.1666666665,1466.7577413479048,4313.716814159287,9182.39130434781,0,0,0
"very-high",1764710077,"2025-12-02T21:14:37Z",5,9.516134939331238,8.119842529296875,26642.6,2919500.4,1418.6627559176527,4187.000210056901,9188.06584362139,0,0,0
